﻿id;name;recipe_category;picture;portion_number;portion_unit;cook_counter;favorite;bookmark;last cooked;last_updated;inspired_by;description;tip
17;Soja-Pilz-Pfanne;1;assets/images/recipes/soja-pilz-pfanne.webp;3;Port.;0;0;0;;;;;
18;Blumenkohl-Tikka-Massala;1;assets/images/recipes/blumenkohl-tikka-massala.webp;3;Port.;0;0;0;;;;;
19;Brokkoli-Paprika-Curry-Pfanne;1;assets/images/recipes/brokkoli-paprika-curry-pfanne.webp;3;Port.;0;0;0;;;;;
20;gerösteter Blumenkohl mit Spinat & Bohnen;1;assets/images/recipes/geroesteter_blumenkohl_mit_spinat_&_bohnen.webp;3;Port.;0;0;0;;;;;
21;Linsen-Ratatouille mit Zucchini & Süßkartoffeln;1;assets/images/recipes/linsen-ratatouille_mit_zucchini_&_suesskartoffeln.webp;3;Port.;0;0;0;;;;;
22;Brokkoli-Blumenkohl-rote Beete Pfanne;1;assets/images/recipes/brokkoli-blumenkohl-rote_beete_pfanne.webp;3;Port.;0;0;0;;;;;
23;Kichererbsen-Blumenkohl-Scramble;1;assets/images/recipes/kichererbsen-blumenkohl-scramble.webp;3;Port.;0;0;0;;;;;
24;Zucchini-Paprika-Erbsen-Pfanne;1;assets/images/recipes/zucchini-paprika-erbsen-pfanne.webp;3;Port.;0;0;0;;;;;
25;Brokkoli-Möhren-Pfanne;1;assets/images/recipes/brokkoli-moehren-pfanne.webp;3;Port.;0;0;0;;;;;
26;Linsen-Blumenkohl-Süßkartoffel-Pfanne;1;assets/images/recipes/linsen-blumenkohl-suesskartoffel-pfanne.webp;3;Port.;0;0;0;;;;;
27;Gemüse-Pfanne mit goldener Gerste;1;assets/images/recipes/gemuese-pfanne_mit_goldener_gerste.webp;3;Port.;0;0;0;;;;;
28;Grünkohl-Blumenkohl-Pfanne;1;assets/images/recipes/gruenkohl-blumenkohl-pfanne.webp;3;Port.;0;0;0;;;;;
29;Chili con Kürbis;1;assets/images/recipes/chili_con_kuerbis.webp;3;Port.;0;0;0;;;;;
30;Bohnen-Apfel-Pilz-Pfanne;1;assets/images/recipes/bohnen-apfel-pilz-pfanne.webp;3;Port.;0;0;0;;;https://youtu.be/dYj-JOsm53s?si=3NU3sHbNqwxqgmnX;;
31;Kohl-Tomaten-Kichererbsen-Pfanne;1;assets/images/recipes/kohl-tomaten-kichererbsen-pfanne.webp;3;Port.;0;0;0;;;;;
32;Kürbis-Gemüse-Pfanne;1;assets/images/recipes/kuerbis-gemuese-pfanne.webp;3;Port.;0;0;0;;;;;
33;Linsen Dal mit gelber Beete;1;assets/images/recipes/linsen_dal_mit_gelber_beete.webp;3;Port.;0;0;0;;;;;
34;Butternut-Kürbis-Chili;1;assets/images/recipes/butternut-kuerbis-chili.webp;3;Port.;0;0;0;;;;;
35;Sellerie-Paprika-Quinoa-Pfanne;1;assets/images/recipes/sellerie-paprika-quinoa-pfanne.webp;3;Port.;0;0;0;;;;;
36;Rosenkohl & Edamame mit Erdnusssauce;1;assets/images/recipes/rosenkohl_&_edamame_mit_erdnusssauce.webp;3;Port.;0;0;0;;;;;
37;Linsencurry mit Rosenkohl;1;assets/images/recipes/linsencurry_mit_rosenkohl.webp;3;Port.;0;0;0;;;;;
38;Pilz-Tempeh-Spinat-Pfanne;1;assets/images/recipes/pilz-tempeh-spinat-pfanne.webp;3;Port.;0;0;0;;;;;
39;Indisches Tomaten-Spinat-Curry;1;assets/images/recipes/indisches_tomaten-spinat-curry.webp;3;Port.;0;0;0;;;;;
40;Rosenkohl-Pilz-Pfanne;1;assets/images/recipes/rosenkohl-pilz-pfanne.webp;3;Port.;0;0;0;;;;;
41;scharfer Grünkohl mit schwarzen Bohnen;1;assets/images/recipes/scharfer_gruenkohl_mit_schwarzen_bohnen.webp;3;Port.;0;0;0;;;;;
42;rote Beete - Chili sin carne;1;assets/images/recipes/rote_beete_-_chili_sin_carne.webp;3;Port.;0;0;0;;;;;
43;Wirsing mit Bohnen & Quinoa;1;assets/images/recipes/wirsing_mit_bohnen_&_quinoa.webp;3;Port.;0;0;0;;;;;
44;Spinat mit Linsen & Getreide;1;assets/images/recipes/spinat_mit_linsen_&_getreide.webp;3;Port.;0;0;0;;;;;
45;rote Beete-Pilz-Pfanne;1;assets/images/recipes/rote_beete-pilz-pfanne.webp;3;Port.;0;0;0;;;;;
46;Möhren & Beans on Greens;1;assets/images/recipes/moehren_&_beans_on_greens.webp;3;Port.;0;0;0;;;;;
